district_name,ref_district_id,state_name,ref_state_id,cattle,buffalo,sheep,goat,horse,pony,mule,donkey,camel,pig,Total_poultry
Nicobars,638,Andaman And Nicobar Islands,35,2004,49,0,8884,0,0,0,0,0,30266,82702
North And Middle Andaman,639,Andaman And Nicobar Islands,35,15718,2617,0,27664,0,0,0,2,0,4956,493083
South Andamans,640,Andaman And Nicobar Islands,35,18716,1034,5,28213,0,0,0,0,0,5266,713375
Srikakulam,542,Andhra Pradesh,28,571943,48481,738910,335684,10,0,102,0,0,3092,2075366
Vizianagaram,543,Andhra Pradesh,28,490989,135858,540336,271205,36,367,0,196,0,5548,5492310
Visakhapatanam,544,Andhra Pradesh,28,648743,318846,371430,435620,542,56,13,8,1,5278,5960859
East Godavari,545,Andhra Pradesh,28,396021,585246,316480,318696,52,24,1,10,0,18646,28117464
West Godavari,546,Andhra Pradesh,28,201102,627909,478551,207067,31,38,9,11,2,7459,18274444
Krishna,547,Andhra Pradesh,28,78846,669773,593007,196986,20,0,0,1,0,7361,15783526
Guntur,548,Andhra Pradesh,28,95927,882347,704863,196153,91,6,1,70,9,4128,8538782
Prakasam,549,Andhra Pradesh,28,68309,926651,2033479,498472,15,0,0,85,0,5676,1327666
Spsr Nellore,550,Andhra Pradesh,28,107858,745829,1370812,453820,15,1,1,35,71,3785,2149482
Y.S.R.,551,Andhra Pradesh,28,137099,486581,1869861,578607,63,1,0,101,0,3625,1853797
Kurnool,552,Andhra Pradesh,28,356122,419855,1985957,610574,188,32,53,853,0,11482,1288204
Anantapur,553,Andhra Pradesh,28,497102,285443,4926587,884186,239,20,60,3204,62,12767,2523575
Chittoor,554,Andhra Pradesh,28,950026,86680,1696698,535063,37,0,0,104,21,3111,14477677
Tawang,245,Arunachal Pradesh,12,17362,2,3195,1895,31,1285,0,0,0,2607,17916
West Kameng,246,Arunachal Pradesh,12,15215,11,2001,5764,95,1354,0,0,0,3028,30797
East Kameng,247,Arunachal Pradesh,12,24749,64,8,16071,6,0,0,0,0,26376,167698
