GO,Function,Proteins,Gene Name,Ontology group,Count of protein,Number of proteins detected within the genome,GO frequency within the dataset (%),GO frequency within the genome (%),P-Value,P-Values_BH
GO:0005576,extracellular region,Q3ZCL0(Evidence code:IEA/Database source:InterPro:IPR018244)P62935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P24627(Evidence code:IEA/Database source:InterPro:IPR018195|I)Q2UVX4(Evidence code:IEA/Database source:InterPro:IPR000020|I)Q3ZCH5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)O97680(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P04272(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q2TBI0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)A0JNP2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P17697(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02672(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02702(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P80457(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P08037(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P28782(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q32PJ2(Evidence code:IEA/Database source:InterPro:IPR000074)Q3MHN5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P80025(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q0P569(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q76LV1(Evidence code:ISS/Database source:UniProtKB:P08238)P15497(Evidence code:IEA/Database source:InterPro:IPR000074)P15467(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02666(Evidence code:IEA/Database source:InterPro:IPR001588)Q8SQ28(Evidence code:IEA/Database source:InterPro:IPR000096)P12763(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P81265(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q0IIA4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q95114(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P79345(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P12799(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P02662(Evidence code:IEA/Database source:InterPro:IPR001588|I)P02676(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q2KIS7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3SZR3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3T052(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q8MI01(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q03247(Evidence code:IEA/Database source:InterPro:IPR000074)P00735(Evidence code:IEA/Database source:InterPro:IPR000294|I)P11151(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P46193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P22226(Evidence code:IEA/Database source:InterPro:IPR001894|I)P07589(Evidence code:IEA/Database source:InterPro:IPR000083)P01888(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P34955(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964)P28783(Evidence code:IEA/Database source:UniProtKB-KW:KW-0964), CRISP3 PPIA FGFBP1 LTF C3 AZGP1 TXN ANXA2 LBP SCGB1D CLU FGA FOLR1 XDH CD14 B4GALT1 S100A8 APOA4 GC LPO NUCB1 HSP90AB1 APOA1 RNASE4 CSN2 Saa3 AHSG PIGR GP2 MFGE8 NPC2 FGG CSN1S1 FGB CLEC3B ORM1 ITIH4 MUC15 APOE F2 LPL ANXA1 C9 CATHL1 FN1 B2M SERPINA1 S100A9,CC,48,48 of 300,51.06,16,5.423E-59,5.206E-56
GO:0005886,plasma membrane,P61585(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q3SYU2(Evidence code:IEA/Database source:UniProtKB:P13639|ens)P31976(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q76LV1(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q0IIG8(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P61223(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q3MHN2(Evidence code:ISS/Database source:UniProtKB:P02748)P60712(Evidence code:ISS/Database source:UniProtKB:G1NS52)P48616(Evidence code:IEA/Database source:UniProtKB:P08670|ens)P26201(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P81265(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P68103(Evidence code:ISS/Database source:UniProtKB:P68104)P12763(Evidence code:TAS/Database source:)Q58DS9(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q8WML4(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P01888(Evidence code:IEA/Database source:UniProtKB:P61769|ens)P08037(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P04272(Evidence code:IEA/Database source:UniProtKB:P07355|ens)Q27960(Evidence code:IEA/Database source:InterPro:IPR029852)Q76LV2(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P30931(Evidence code:IBA/Database source:PANTHER:PTN000466212)Q4GZT4(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P46193(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q2KJ93(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q3ZCH5(Evidence code:IBA/Database source:PANTHER:PTN000422281)P19120(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P30932(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P28783(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q8MI01(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P11151(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P28782(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)Q5E9F7(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P02702(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003)P62261(Evidence code:IEA/Database source:UniProtKB:P62258|ens)P05307(Evidence code:IEA/Database source:UniProtKB-KW:KW-1003), RHOA EEF2 EZR HSP90AB1 RAB18 RAP1B FGFBP1 C9 ACTB VIM CD36 PIGR EEF1A1 AHSG RAB5C MUC1 B2M B4GALT1 CD14 ANXA2 SLC34A2 HSP90AA1 F3 ABCG2 ANXA1 CDC42 AZGP1 HSPA8 CD9 S100A9 MUC15 LPL S100A8 CFL1 FOLR1 YWHAE P4HB,CC,37,37 of 630,39.36,5.87,6.717E-32,3.224E-29
GO:0005615,extracellular space,Q3MHN2(Evidence code:ISS/Database source:UniProtKB:P02748)P80457(Evidence code:IDA/Database source:)Q2TBI0(Evidence code:IEA/Database source:InterPro:IPR030180|I)P02662(Evidence code:IDA/Database source:)P02666(Evidence code:IEA/Database source:UniProtKB:P05814|ens)P12763(Evidence code:IEA/Database source:InterPro:IPR001363)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q2UVX4(Evidence code:IEA/Database source:InterPro:IPR011626)Q8WML4(Evidence code:IBA/Database source:PANTHER:PTN001293623)P34955(Evidence code:IEA/Database source:InterPro:IPR000215)P80025(Evidence code:IEA/Database source:UniProtKB:P22079|ens)Q3SZR3(Evidence code:IEA/Database source:InterPro:IPR001500)P46193(Evidence code:ISS/Database source:UniProtKB:P04083)P08037(Evidence code:IDA/Database source:)P24627(Evidence code:IEA/Database source:InterPro:IPR016357)Q2KIS7(Evidence code:ISS/Database source:UniProtKB:P05452)Q3MHN5(Evidence code:IEA/Database source:InterPro:IPR000213|I)P17697(Evidence code:ISS/Database source:UniProtKB:P10909)P79345(Evidence code:IEA/Database source:UniProtKB:P61916|ens)P11151(Evidence code:ISS/Database source:UniProtKB:P06858)P15497(Evidence code:IEA/Database source:UniProtKB:P02647|ens)P07589(Evidence code:IDA/Database source:)Q3SYR8(Evidence code:IEA/Database source:UniProtKB:P01591|ens)Q3ZCH5(Evidence code:IEA/Database source:UniProtKB:P25311|ens)P28782(Evidence code:IEA/Database source:UniProtKB:P05109|ens)P00735(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P30931(Evidence code:ISS/Database source:UniProtKB:P13726)P10790(Evidence code:IEA/Database source:UniProtKB:P11404|ens), C9 XDH LBP CSN1S1 CSN2 AHSG FGFBP1 C3 MUC1 SERPINA1 LPO ORM1 ANXA1 B4GALT1 LTF CLEC3B GC CLU NPC2 LPL APOA1 FN1 IGJ AZGP1 S100A8 F2 F3 FABP3,CC,28,28 of 426,29.79,6.57,3.361E-26,1.076E-23
GO:0005737,cytoplasm,P31976(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q5E9F7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P62261(Evidence code:ISS/Database source:UniProtKB:P62258)O97680(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q76LV1(Evidence code:ISS/Database source:UniProtKB:P08238)P60712(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P17697(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q3SYU2(Evidence code:ISS/Database source:UniProtKB:P13639)Q8WML4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q2KIS7(Evidence code:ISS/Database source:UniProtKB:P05452)P80025(Evidence code:IEA/Database source:UniProtKB:Q5SW46|ens)Q27960(Evidence code:IBA/Database source:PANTHER:PTN000000493)P19803(Evidence code:IEA/Database source:InterPro:IPR000406)P24627(Evidence code:IEA/Database source:UniProtKB:P02788|ens)Q0P569(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q71SP7(Evidence code:ISS/Database source:UniProtKB:P12785)Q148C9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P04272(Evidence code:IEA/Database source:UniProtKB:P07355|ens)P48616(Evidence code:ISS/Database source:UniProtKB:P08670)Q3SX14(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P62935(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P68103(Evidence code:IEA/Database source:InterPro:IPR004539)Q2KJ32(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q9XSG3(Evidence code:ISS/Database source:UniProtKB:O75874)P10790(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P28782(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P61585(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P63103(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P68250(Evidence code:ISS/Database source:UniProtKB:P31946)P50397(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P46193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P28783(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P80457(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P19120(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)P17248(Evidence code:IEA/Database source:InterPro:IPR002306)Q3T149(Evidence code:ISS/Database source:UniProtKB:P04792)Q76LV2(Evidence code:ISS/Database source:UniProtKB:P11501)P61223(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q07130(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q2KJ93(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963)Q5E947(Evidence code:IEA/Database source:UniProtKB-KW:KW-0963), EZR CFL1 YWHAE TXN HSP90AB1 ACTB CLU EEF2 MUC1 CLEC3B LPO SLC34A2 ARHGDIA LTF NUCB1 FASN HEBP1 ANXA2 VIM GSN PPIA EEF1A1 SELENBP1 IDH1 FABP3 S100A8 RHOA YWHAZ YWHAB GDI2 ANXA1 S100A9 XDH HSPA8 WARS HSPB1 HSP90AA1 RAP1B UGP2 CDC42 PRDX1,CC,41,41 of 1304,43.62,3.14,4.561E-25,1.095E-22
GO:0016020,membrane,P19803(Evidence code:IEA/Database source:UniProtKB:Q99PT1|ens)Q5E9F7(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q95114(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)F1N514(Evidence code:IEA/Database source:InterPro:IPR001190|I)P30931(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q8MI01(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P04272(Evidence code:IDA/Database source:)Q3T0F5(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P08037(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P18892(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P61223(Evidence code:IEA/Database source:InterPro:IPR020849)P28783(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q8WML4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P28782(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2TBI0(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q76LV2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2KJ93(Evidence code:ISS/Database source:UniProtKB:P60953)P61585(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P02702(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P26201(Evidence code:IEA/Database source:InterPro:IPR002159)Q4GZT4(Evidence code:IEA/Database source:InterPro:IPR013525)P46193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P68103(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0IIG8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P05307(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q9TUM6(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P19120(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q0P569(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q76LV1(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)G3N2D8(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P50397(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P31976(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q58DS9(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P30932(Evidence code:ISS/Database source:UniProtKB:P40240)Q9MZ06(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P81265(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P17697(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q27960(Evidence code:IEA/Database source:InterPro:IPR003841)P80195(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)P11151(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472)Q2KJ32(Evidence code:IEA/Database source:UniProtKB-KW:KW-0472), ARHGDIA CFL1 MFGE8 CD5L F3 MUC15 ANXA2 RAB7A B4GALT1 BTN1A1 RAP1B S100A9 C9 MUC1 S100A8 LBP HSP90AA1 CDC42 RHOA FOLR1 CD36 ABCG2 ANXA1 EEF1A1 RAB18 P4HB CD14 PLIN2 HSPA8 NUCB1 HSP90AB1 GGT1 GDI2 EZR RAB5C CD9 FGFBP1 PIGR CLU SLC34A2 GLYCAM1 LPL SELENBP1,CC,43,43 of 1837,45.74,2.34,1.842E-21,3.538E-19
GO:0042470,melanosome,P04272(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)A1L528(Evidence code:IEA/Database source:UniProtKB:P62821|ens)P68250(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q71SP7(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q76LV2(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P05307(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q76LV1(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P19120(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)Q58DS9(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P62261(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P63103(Evidence code:IEA/Database source:UniProtKB-SubCell:SL), ANXA2 RAB1A YWHAB FASN HSP90AA1 P4HB HSP90AB1 HSPA8 RAB5C YWHAE YWHAZ,CC,11,11 of 56,11.7,19.64,2.607E-16,4.171E-14
GO:0098869,cellular oxidant detoxification,P80025(Evidence code:IEA/Database source:GO:0004601)P02666(Evidence code:IEA/Database source:GO:0016209)P28783(Evidence code:IEA/Database source:GO:0016209)O97680(Evidence code:IEA/Database source:GO:0004791)P02662(Evidence code:IEA/Database source:GO:0016209)P28782(Evidence code:IEA/Database source:GO:0016209), LPO CSN2 S100A9 TXN CSN1S1 S100A8,BP,6,6 of 5,6.38,120,3.377E-13,4.632E-11
GO:0005829,cytosol,Q3SYU2(Evidence code:IEA/Database source:UniProtKB:P13639|ens)P68103(Evidence code:IEA/Database source:UniProtKB:P68104|ens)Q9XSG3(Evidence code:ISS/Database source:UniProtKB:O88844)P62935(Evidence code:ISS/Database source:UniProtKB:P62937)Q3MHN2(Evidence code:IEA/Database source:UniProtKB:P02748|ens)P61223(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P17697(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P01888(Evidence code:IEA/Database source:UniProtKB:P61769|ens)Q76LV2(Evidence code:IEA/Database source:UniProtKB:P07901|ens)Q3T0F5(Evidence code:IEA/Database source:GO:0045022)P61585(Evidence code:ISS/Database source:UniProtKB:P61586)P80457(Evidence code:IBA/Database source:PANTHER:PTN000225632)P31976(Evidence code:IEA/Database source:UniProtKB:P15311|ens)P17248(Evidence code:IEA/Database source:UniProtKB:A0A024R6K8)Q2KJ32(Evidence code:IEA/Database source:UniProtKB-SubCell:SL)P48616(Evidence code:IEA/Database source:UniProtKB:P08670|ens)P46193(Evidence code:IDA/Database source:)P60712(Evidence code:TAS/Database source:)P04272(Evidence code:IEA/Database source:UniProtKB:P07356|ens)P19120(Evidence code:IEA/Database source:UniProtKB:P11142|ens)P28782(Evidence code:IEA/Database source:UniProtKB:P05109|ens), EEF2 EEF1A1 IDH1 PPIA C9 RAP1B CLU B2M HSP90AA1 RAB7A RHOA XDH EZR WARS SELENBP1 VIM ANXA1 ACTB ANXA2 HSPA8 S100A8,CC,21,21 of 769,22.34,2.73,4.009E-13,4.811E-11
GO:0006953,acute-phase response,Q3SZR3(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)P00735(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)Q8SQ28(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)Q3T052(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)P07589(Evidence code:IEA/Database source:UniProtKB-KW:KW-0011)Q2TBI0(Evidence code:IEA/Database source:InterPro:IPR030180)P12763(Evidence code:ISS/Database source:UniProtKB:P02765), ORM1 F2 Saa3 ITIH4 FN1 LBP AHSG,BP,7,7 of 16,7.45,43.75,5.416E-13,5.777E-11
GO:0045087,innate immune response,Q2TBI0(Evidence code:IEA/Database source:InterPro:IPR030180)Q95122(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P28783(Evidence code:IEA/Database source:InterPro:IPR028475)P02676(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P46193(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q3SYR8(Evidence code:IEA/Database source:UniProtKB:P01591|ens)Q2UVX4(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)Q3MHN2(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P02672(Evidence code:IEA/Database source:UniProtKB-KW:KW-0399)P28782(Evidence code:IEA/Database source:InterPro:IPR028474), LBP CD14 S100A9 FGB ANXA1 IGJ C3 C9 FGA S100A8,BP,10,10 of 131,10.64,7.63,3.112E-11,2.988E-09
